,Offense Score,Defense Score,Drive Number,Play Number,Period,totalseconds,Offense Timeouts,Yard Line,Yards To Goal,Down,Distance,L1 Play Yards,L2 Play Yards,Play Type,L1 Yards Gained,L2 Yards Gained,L1 Play Type,L2 Play Type,L1 Down,L2 Down,L1 Distance,L1 Distance
0,7,0,1,2,1,889,3.0,75,75,1,10,,,3,,,4,4,,,,
2,7,0,3,1,1,740,3.0,65,65,1,10,75.0,,3,75.0,,3,4,1.0,,10.0,10.0
3,7,0,3,2,1,720,3.0,63,63,2,8,2.0,75.0,1,2.0,75.0,3,3,1.0,1.0,10.0,10.0
4,7,0,3,3,1,690,3.0,56,56,3,1,7.0,2.0,3,7.0,2.0,1,3,2.0,1.0,8.0,8.0
5,7,0,3,4,1,660,3.0,57,57,4,2,-1.0,7.0,3,-1.0,7.0,3,1,3.0,2.0,1.0,1.0
6,7,0,3,5,1,630,3.0,50,50,1,10,7.0,-1.0,1,7.0,-1.0,3,3,4.0,3.0,2.0,2.0
7,7,0,3,6,1,610,3.0,28,28,1,10,22.0,7.0,3,22.0,7.0,1,3,1.0,4.0,10.0,10.0
8,7,0,3,7,1,572,3.0,29,29,2,11,-1.0,22.0,1,-1.0,22.0,3,1,1.0,1.0,10.0,10.0
9,7,0,3,8,1,550,3.0,29,29,3,11,0.0,-1.0,3,0.0,-1.0,1,3,2.0,1.0,11.0,11.0
10,7,0,3,9,1,540,3.0,17,17,1,10,12.0,0.0,3,12.0,0.0,3,1,3.0,2.0,11.0,11.0
12,14,0,3,11,1,524,3.0,5,5,1,5,12.0,12.0,3,12.0,12.0,3,3,1.0,3.0,10.0,10.0
15,21,0,6,1,1,380,3.0,82,82,1,10,5.0,12.0,1,5.0,12.0,3,3,1.0,1.0,5.0,5.0
16,21,0,6,2,1,360,3.0,75,75,2,3,7.0,5.0,1,7.0,5.0,1,3,1.0,1.0,10.0,10.0
17,21,0,6,3,1,310,3.0,67,67,1,10,8.0,7.0,3,8.0,7.0,1,1,2.0,1.0,3.0,3.0
18,21,0,6,4,1,285,3.0,71,71,2,14,-4.0,8.0,1,-4.0,8.0,3,1,1.0,2.0,10.0,10.0
19,21,0,6,5,1,255,3.0,61,61,3,4,10.0,-4.0,3,10.0,-4.0,1,3,2.0,1.0,14.0,14.0
20,28,0,6,6,1,240,3.0,21,21,1,10,40.0,10.0,1,40.0,10.0,3,1,3.0,2.0,4.0,4.0
22,28,0,8,1,1,90,3.0,74,74,1,10,21.0,40.0,3,21.0,40.0,1,3,1.0,3.0,10.0,10.0
23,28,0,8,2,1,80,3.0,67,67,2,3,7.0,21.0,3,7.0,21.0,3,1,1.0,1.0,10.0,10.0
24,28,0,8,3,1,45,3.0,66,66,3,2,1.0,7.0,3,1.0,7.0,3,3,2.0,1.0,3.0,3.0
25,28,0,8,4,1,10,3.0,65,65,4,1,1.0,1.0,3,1.0,1.0,3,3,3.0,2.0,2.0,2.0
27,28,0,8,6,2,880,3.0,63,63,1,10,2.0,1.0,1,2.0,1.0,3,3,4.0,3.0,1.0,1.0
28,28,0,8,7,2,860,3.0,44,44,1,10,19.0,2.0,1,19.0,2.0,1,3,1.0,4.0,10.0,10.0
29,28,0,8,8,2,839,3.0,42,42,2,8,2.0,19.0,1,2.0,19.0,1,1,1.0,1.0,10.0,10.0
30,28,0,8,9,2,833,3.0,42,42,3,8,0.0,2.0,1,0.0,2.0,1,1,2.0,1.0,8.0,8.0
31,28,0,8,10,2,825,3.0,42,42,4,8,0.0,0.0,2,0.0,0.0,1,1,3.0,2.0,8.0,8.0
32,28,0,10,1,2,645,2.0,65,65,1,10,0.0,0.0,1,0.0,0.0,2,1,4.0,3.0,8.0,8.0
34,28,0,10,3,2,585,2.0,61,61,3,6,3.0,0.0,1,3.0,0.0,1,2,1.0,4.0,10.0,10.0
35,28,0,10,4,2,537,2.0,51,51,1,10,10.0,3.0,1,10.0,3.0,1,1,3.0,1.0,6.0,6.0
36,28,0,10,5,2,515,2.0,51,51,2,10,0.0,10.0,3,0.0,10.0,1,1,1.0,3.0,10.0,10.0
37,28,0,10,6,2,470,2.0,46,46,3,5,5.0,0.0,1,5.0,0.0,3,1,2.0,1.0,10.0,10.0
38,28,0,10,7,2,450,2.0,32,32,1,10,14.0,5.0,1,14.0,5.0,1,3,3.0,2.0,5.0,5.0
39,35,0,10,8,2,439,2.0,13,13,1,10,19.0,14.0,1,19.0,14.0,1,1,1.0,3.0,10.0,10.0
41,35,0,12,1,2,270,2.0,41,41,1,10,13.0,19.0,1,13.0,19.0,1,1,1.0,1.0,10.0,10.0
42,35,0,12,2,2,240,2.0,30,30,1,10,11.0,13.0,1,11.0,13.0,1,1,1.0,1.0,10.0,10.0
43,35,0,12,3,2,210,2.0,14,14,1,10,16.0,11.0,3,16.0,11.0,1,1,1.0,1.0,10.0,10.0
44,35,0,12,4,2,160,2.0,18,18,2,14,-4.0,16.0,1,-4.0,16.0,3,1,1.0,1.0,10.0,10.0
45,35,0,12,5,2,137,2.0,22,22,3,18,-4.0,-4.0,1,-4.0,-4.0,1,3,2.0,1.0,14.0,14.0
46,38,0,12,6,2,131,2.0,22,22,4,18,0.0,-4.0,0,0.0,-4.0,1,1,3.0,2.0,18.0,18.0
48,38,7,14,2,2,0,2.0,75,75,1,10,39.0,0.0,3,39.0,0.0,0,1,4.0,3.0,18.0,18.0
51,38,14,16,2,3,870,3.0,75,75,1,10,-1.0,39.0,3,-1.0,39.0,3,0,1.0,4.0,10.0,10.0
52,38,14,16,3,3,840,3.0,72,72,2,7,3.0,-1.0,1,3.0,-1.0,3,3,1.0,1.0,10.0,10.0
53,38,14,16,4,3,810,3.0,67,67,3,2,5.0,3.0,3,5.0,3.0,1,3,2.0,1.0,7.0,7.0
54,38,14,16,5,3,780,3.0,62,62,1,10,5.0,5.0,1,5.0,5.0,3,1,3.0,2.0,2.0,2.0
55,38,14,16,6,3,780,3.0,53,53,2,1,9.0,5.0,3,9.0,5.0,1,3,1.0,3.0,10.0,10.0
56,38,14,16,7,3,712,3.0,55,55,2,3,-2.0,9.0,1,-2.0,9.0,3,1,2.0,1.0,1.0,1.0
57,38,14,16,8,3,702,3.0,44,44,1,10,11.0,-2.0,1,11.0,-2.0,1,3,2.0,2.0,3.0,3.0
58,38,14,16,9,3,690,3.0,44,44,2,10,0.0,11.0,3,0.0,11.0,1,1,1.0,2.0,10.0,10.0
59,38,14,16,10,3,645,3.0,40,40,3,6,4.0,0.0,3,4.0,0.0,3,1,2.0,1.0,10.0,10.0
60,38,14,16,11,3,585,3.0,29,29,1,10,11.0,4.0,1,11.0,4.0,3,3,3.0,2.0,6.0,6.0
61,38,14,16,12,3,565,3.0,16,16,1,10,13.0,11.0,3,13.0,11.0,1,3,1.0,3.0,10.0,10.0
62,38,14,16,13,3,528,3.0,14,14,2,8,2.0,13.0,1,2.0,13.0,3,1,1.0,1.0,10.0,10.0
63,40,14,18,2,3,420,3.0,76,76,1,10,12.0,2.0,1,12.0,2.0,1,3,2.0,1.0,8.0,8.0
64,40,14,18,3,3,390,3.0,64,64,1,10,12.0,12.0,3,12.0,12.0,1,1,1.0,2.0,10.0,10.0
65,40,14,18,4,3,345,3.0,61,61,2,7,3.0,12.0,1,3.0,12.0,3,1,1.0,1.0,10.0,10.0
66,47,14,18,5,3,332,3.0,52,52,1,10,9.0,3.0,3,9.0,3.0,1,3,2.0,1.0,7.0,7.0
68,47,21,20,2,3,120,3.0,75,75,1,10,52.0,9.0,1,52.0,9.0,3,1,1.0,2.0,10.0,10.0
69,47,21,20,3,3,90,3.0,72,72,2,7,3.0,52.0,3,3.0,52.0,1,3,1.0,1.0,10.0,10.0
70,47,21,20,4,3,60,3.0,64,64,1,10,8.0,3.0,1,8.0,3.0,3,1,2.0,1.0,7.0,7.0
71,47,21,20,5,3,30,3.0,62,62,2,8,2.0,8.0,3,2.0,8.0,1,3,1.0,2.0,10.0,10.0
